"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Basic math operations","Click calc buttons","","0","0","10","0","0"
"","Cucumber UI/API tests for web calculator","User calculates (10-2)*2 !=20 by pressing calculator buttons","0","0","0","1","0"
"UI Verify calculator input","Click calc buttons","","0","0","6","0","0"
"","","","0","4","0","0","0"
"","Cucumber UI/API tests for web calculator","User calculates 10-8=2 by pressing calculator buttons","0","0","0","1","0"
"Performance API test","send api requests","","0","0","1","0","0"
"","Cucumber UI/API tests for web calculator","User calculates 2+3=5 by pressing calculator buttons","0","0","0","1","0"
"","Cucumber UI/API tests for web calculator","User calculates sin(30)=0.5 by pressing calculator buttons","0","0","0","1","0"
