"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 16 14:11:26 GMT 2023","Mon Oct 16 14:11:30 GMT 2023","3757","","Cucumber UI/API tests for web calculator","","User calculates 10-8=2 by pressing calculator buttons","","User calculates 10-8=2 by pressing calculator buttons",""
"skipped","Mon Oct 16 14:11:31 GMT 2023","Mon Oct 16 14:11:32 GMT 2023","489","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"failed","Mon Oct 16 14:14:36 GMT 2023","Mon Oct 16 14:14:41 GMT 2023","4663","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 16 14:11:42 GMT 2023","Mon Oct 16 14:11:43 GMT 2023","1219","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Oct 16 14:11:31 GMT 2023","Mon Oct 16 14:11:31 GMT 2023","518","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"skipped","Mon Oct 16 14:11:31 GMT 2023","Mon Oct 16 14:11:31 GMT 2023","486","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Oct 16 14:14:28 GMT 2023","Mon Oct 16 14:14:33 GMT 2023","4705","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 16 14:11:51 GMT 2023","Mon Oct 16 14:11:52 GMT 2023","885","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Oct 16 14:12:22 GMT 2023","Mon Oct 16 14:12:29 GMT 2023","6364","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"broken","Mon Oct 16 14:11:31 GMT 2023","Mon Oct 16 14:11:32 GMT 2023","518","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 16 14:15:13 GMT 2023","Mon Oct 16 14:15:19 GMT 2023","6017","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"skipped","Mon Oct 16 14:11:30 GMT 2023","Mon Oct 16 14:11:31 GMT 2023","505","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"passed","Mon Oct 16 14:14:45 GMT 2023","Mon Oct 16 14:14:49 GMT 2023","4849","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"broken","Mon Oct 16 14:11:30 GMT 2023","Mon Oct 16 14:11:31 GMT 2023","550","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 16 14:14:53 GMT 2023","Mon Oct 16 14:14:58 GMT 2023","4707","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 16 14:12:08 GMT 2023","Mon Oct 16 14:12:18 GMT 2023","9852","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula1","testFormula1","summation"
