"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 22 14:17:43 GMT 2024","Mon Jan 22 14:17:44 GMT 2024","501","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"broken","Mon Jan 22 14:17:44 GMT 2024","Mon Jan 22 14:17:45 GMT 2024","450","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"skipped","Mon Jan 22 14:17:40 GMT 2024","Mon Jan 22 14:17:43 GMT 2024","3047","","Cucumber UI/API tests for web calculator","","User calculates 10-8=2 by pressing calculator buttons","","User calculates 10-8=2 by pressing calculator buttons",""
"passed","Mon Jan 22 14:13:06 GMT 2024","Mon Jan 22 14:13:07 GMT 2024","1053","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Jan 22 14:16:53 GMT 2024","Mon Jan 22 14:16:58 GMT 2024","5485","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"passed","Mon Jan 22 14:16:25 GMT 2024","Mon Jan 22 14:16:30 GMT 2024","4623","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Jan 22 14:13:36 GMT 2024","Mon Jan 22 14:13:44 GMT 2024","8502","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula1","testFormula1","summation"
"passed","Mon Jan 22 14:13:11 GMT 2024","Mon Jan 22 14:13:13 GMT 2024","1037","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Jan 22 14:13:23 GMT 2024","Mon Jan 22 14:13:25 GMT 2024","1218","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Jan 22 14:14:03 GMT 2024","Mon Jan 22 14:14:11 GMT 2024","7974","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula3","testFormula3","sinus"
"broken","Mon Jan 22 14:17:44 GMT 2024","Mon Jan 22 14:17:44 GMT 2024","502","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 22 14:16:17 GMT 2024","Mon Jan 22 14:16:22 GMT 2024","4712","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"skipped","Mon Jan 22 14:17:44 GMT 2024","Mon Jan 22 14:17:45 GMT 2024","433","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"passed","Mon Jan 22 14:16:43 GMT 2024","Mon Jan 22 14:16:47 GMT 2024","4831","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"skipped","Mon Jan 22 14:17:44 GMT 2024","Mon Jan 22 14:17:44 GMT 2024","478","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Jan 22 14:12:41 GMT 2024","Mon Jan 22 14:12:45 GMT 2024","4239","Surefire suite","Surefire test","com.webcalc.ui.tests.PerformanceTest","com.webcalc.ui.tests.PerformanceTest","testPerformOperation","testPerformOperation",""
"passed","Mon Jan 22 14:13:18 GMT 2024","Mon Jan 22 14:13:19 GMT 2024","1202","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Jan 22 14:13:00 GMT 2024","Mon Jan 22 14:13:02 GMT 2024","1136","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"skipped","Mon Jan 22 14:17:43 GMT 2024","Mon Jan 22 14:17:44 GMT 2024","428","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"passed","Mon Jan 22 14:13:30 GMT 2024","Mon Jan 22 14:13:31 GMT 2024","1056","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Jan 22 14:17:04 GMT 2024","Mon Jan 22 14:17:11 GMT 2024","6563","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"passed","Mon Jan 22 14:14:17 GMT 2024","Mon Jan 22 14:14:26 GMT 2024","9731","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula4","testFormula4","multiplication"
"broken","Mon Jan 22 14:17:40 GMT 2024","Mon Jan 22 14:17:43 GMT 2024","3305","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 22 14:13:50 GMT 2024","Mon Jan 22 14:13:57 GMT 2024","6963","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"passed","Mon Jan 22 14:16:33 GMT 2024","Mon Jan 22 14:16:38 GMT 2024","4792","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
