"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 18 14:15:55 GMT 2023","Mon Dec 18 14:15:55 GMT 2023","435","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"skipped","Mon Dec 18 14:15:55 GMT 2023","Mon Dec 18 14:15:56 GMT 2023","447","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Dec 18 14:12:51 GMT 2023","Mon Dec 18 14:12:57 GMT 2023","6320","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"skipped","Mon Dec 18 14:15:52 GMT 2023","Mon Dec 18 14:15:55 GMT 2023","2629","","Cucumber UI/API tests for web calculator","","User calculates 10-8=2 by pressing calculator buttons","","User calculates 10-8=2 by pressing calculator buttons",""
"passed","Mon Dec 18 14:14:37 GMT 2023","Mon Dec 18 14:14:42 GMT 2023","4502","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Dec 18 14:13:01 GMT 2023","Mon Dec 18 14:13:07 GMT 2023","6006","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula3","testFormula3","sinus"
"passed","Mon Dec 18 14:12:39 GMT 2023","Mon Dec 18 14:12:47 GMT 2023","7910","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula1","testFormula1","summation"
"passed","Mon Dec 18 14:15:03 GMT 2023","Mon Dec 18 14:15:08 GMT 2023","4807","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Dec 18 14:12:21 GMT 2023","Mon Dec 18 14:12:22 GMT 2023","742","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Dec 18 14:15:55 GMT 2023","Mon Dec 18 14:15:55 GMT 2023","461","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 18 14:13:10 GMT 2023","Mon Dec 18 14:13:18 GMT 2023","7981","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula4","testFormula4","multiplication"
"passed","Mon Dec 18 14:11:52 GMT 2023","Mon Dec 18 14:11:56 GMT 2023","4199","Surefire suite","Surefire test","com.webcalc.ui.tests.PerformanceTest","com.webcalc.ui.tests.PerformanceTest","testPerformOperation","testPerformOperation",""
"passed","Mon Dec 18 14:12:30 GMT 2023","Mon Dec 18 14:12:31 GMT 2023","804","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Dec 18 14:15:52 GMT 2023","Mon Dec 18 14:15:55 GMT 2023","2842","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 18 14:12:25 GMT 2023","Mon Dec 18 14:12:26 GMT 2023","860","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Dec 18 14:12:12 GMT 2023","Mon Dec 18 14:12:13 GMT 2023","1108","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"skipped","Mon Dec 18 14:15:56 GMT 2023","Mon Dec 18 14:15:56 GMT 2023","427","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"passed","Mon Dec 18 14:15:12 GMT 2023","Mon Dec 18 14:15:17 GMT 2023","4917","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"passed","Mon Dec 18 14:12:34 GMT 2023","Mon Dec 18 14:12:35 GMT 2023","989","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Dec 18 14:14:45 GMT 2023","Mon Dec 18 14:14:50 GMT 2023","4561","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Dec 18 14:15:23 GMT 2023","Mon Dec 18 14:15:29 GMT 2023","5677","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"broken","Mon Dec 18 14:15:56 GMT 2023","Mon Dec 18 14:15:56 GMT 2023","436","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"broken","Mon Dec 18 14:15:55 GMT 2023","Mon Dec 18 14:15:56 GMT 2023","473","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 18 14:12:17 GMT 2023","Mon Dec 18 14:12:18 GMT 2023","989","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Dec 18 14:14:54 GMT 2023","Mon Dec 18 14:14:58 GMT 2023","4665","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
