"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 14:11:37 GMT 2023","Mon Oct 30 14:11:43 GMT 2023","6086","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"broken","Mon Oct 30 14:10:47 GMT 2023","Mon Oct 30 14:10:48 GMT 2023","489","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 14:13:46 GMT 2023","Mon Oct 30 14:13:51 GMT 2023","4545","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 30 14:11:06 GMT 2023","Mon Oct 30 14:11:07 GMT 2023","891","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Oct 30 14:10:46 GMT 2023","Mon Oct 30 14:10:47 GMT 2023","531","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 14:11:46 GMT 2023","Mon Oct 30 14:11:52 GMT 2023","6040","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula3","testFormula3","sinus"
"passed","Mon Oct 30 14:11:15 GMT 2023","Mon Oct 30 14:11:16 GMT 2023","815","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Oct 30 14:13:22 GMT 2023","Mon Oct 30 14:13:22 GMT 2023","670","Surefire suite","Surefire test","com.webcalc.ui.tests.PerformanceTest","com.webcalc.ui.tests.PerformanceTest","testPerformOperation","testPerformOperation",""
"passed","Mon Oct 30 14:13:38 GMT 2023","Mon Oct 30 14:13:43 GMT 2023","4584","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 30 14:14:03 GMT 2023","Mon Oct 30 14:14:08 GMT 2023","4760","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 30 14:11:55 GMT 2023","Mon Oct 30 14:12:03 GMT 2023","7682","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula4","testFormula4","multiplication"
"broken","Mon Oct 30 14:10:47 GMT 2023","Mon Oct 30 14:10:47 GMT 2023","530","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 14:10:57 GMT 2023","Mon Oct 30 14:10:59 GMT 2023","1168","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Oct 30 14:11:02 GMT 2023","Mon Oct 30 14:11:03 GMT 2023","853","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Oct 30 14:10:42 GMT 2023","Mon Oct 30 14:10:46 GMT 2023","4019","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"skipped","Mon Oct 30 14:10:46 GMT 2023","Mon Oct 30 14:10:47 GMT 2023","454","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"skipped","Mon Oct 30 14:10:47 GMT 2023","Mon Oct 30 14:10:48 GMT 2023","467","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"passed","Mon Oct 30 14:14:12 GMT 2023","Mon Oct 30 14:14:17 GMT 2023","4954","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"skipped","Mon Oct 30 14:10:42 GMT 2023","Mon Oct 30 14:10:46 GMT 2023","3446","","Cucumber UI/API tests for web calculator","","User calculates 10-8=2 by pressing calculator buttons","","User calculates 10-8=2 by pressing calculator buttons",""
"passed","Mon Oct 30 14:13:54 GMT 2023","Mon Oct 30 14:13:59 GMT 2023","4774","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 30 14:11:23 GMT 2023","Mon Oct 30 14:11:33 GMT 2023","9599","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula1","testFormula1","summation"
"skipped","Mon Oct 30 14:10:47 GMT 2023","Mon Oct 30 14:10:47 GMT 2023","475","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Oct 30 14:14:22 GMT 2023","Mon Oct 30 14:14:28 GMT 2023","5565","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardNumbersNegative","testEnteringKeyboardNumbersNegative",""
"passed","Mon Oct 30 14:11:11 GMT 2023","Mon Oct 30 14:11:11 GMT 2023","859","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Oct 30 14:11:19 GMT 2023","Mon Oct 30 14:11:20 GMT 2023","765","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
