"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 14:11:28 GMT 2023","Mon Sep 11 14:11:30 GMT 2023","1279","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Sep 11 14:12:23 GMT 2023","Mon Sep 11 14:12:29 GMT 2023","6415","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula3","testFormula3","sinus"
"passed","Mon Sep 11 14:12:12 GMT 2023","Mon Sep 11 14:12:19 GMT 2023","6890","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"passed","Mon Sep 11 14:15:43 GMT 2023","Mon Sep 11 14:15:44 GMT 2023","840","Surefire suite","Surefire test","com.webcalc.ui.tests.PerformanceTest","com.webcalc.ui.tests.PerformanceTest","testPerformOperation","testPerformOperation",""
"passed","Mon Sep 11 14:11:43 GMT 2023","Mon Sep 11 14:11:44 GMT 2023","989","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"passed","Mon Sep 11 14:11:57 GMT 2023","Mon Sep 11 14:12:07 GMT 2023","10248","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula1","testFormula1","summation"
"skipped","Mon Sep 11 14:11:11 GMT 2023","Mon Sep 11 14:11:15 GMT 2023","3951","","Cucumber UI/API tests for web calculator","","User calculates 10-8=2 by pressing calculator buttons","","User calculates 10-8=2 by pressing calculator buttons",""
"skipped","Mon Sep 11 14:11:17 GMT 2023","Mon Sep 11 14:11:17 GMT 2023","592","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"skipped","Mon Sep 11 14:11:16 GMT 2023","Mon Sep 11 14:11:16 GMT 2023","484","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"passed","Mon Sep 11 14:11:47 GMT 2023","Mon Sep 11 14:11:48 GMT 2023","967","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"skipped","Mon Sep 11 14:11:16 GMT 2023","Mon Sep 11 14:11:17 GMT 2023","576","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Sep 11 14:14:43 GMT 2023","Mon Sep 11 14:14:48 GMT 2023","4968","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"broken","Mon Sep 11 14:11:17 GMT 2023","Mon Sep 11 14:11:17 GMT 2023","619","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 11 14:11:33 GMT 2023","Mon Sep 11 14:11:34 GMT 2023","930","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Sep 11 14:11:15 GMT 2023","Mon Sep 11 14:11:16 GMT 2023","541","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"broken","Mon Sep 11 14:11:16 GMT 2023","Mon Sep 11 14:11:17 GMT 2023","610","Surefire suite","Surefire test","com.webcalc.gerkin.testrunner.CucumberRunnerTests","com.webcalc.gerkin.testrunner.CucumberRunnerTests","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Sep 11 14:11:38 GMT 2023","Mon Sep 11 14:11:39 GMT 2023","1009","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
