"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 23 14:13:43 GMT 2023","Mon Oct 23 14:13:43 GMT 2023","441","","Cucumber UI/API tests for web calculator","","User calculates (10-2)*2 !=20 by pressing calculator buttons","","User calculates (10-2)*2 !=20 by pressing calculator buttons",""
"skipped","Mon Oct 23 14:13:42 GMT 2023","Mon Oct 23 14:13:42 GMT 2023","556","","Cucumber UI/API tests for web calculator","","User calculates 2+3=5 by pressing calculator buttons","","User calculates 2+3=5 by pressing calculator buttons",""
"skipped","Mon Oct 23 14:13:37 GMT 2023","Mon Oct 23 14:13:37 GMT 2023","0","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasInputTest","com.webcalc.ui.tests.CalBasicFormulasInputTest","testEnteringKeyboardCharacters","testEnteringKeyboardCharacters",""
"passed","Mon Oct 23 14:11:15 GMT 2023","Mon Oct 23 14:11:17 GMT 2023","1168","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
"broken","Mon Oct 23 14:12:12 GMT 2023","Mon Oct 23 14:12:19 GMT 2023","7017","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula4","testFormula4","multiplication"
"broken","Mon Oct 23 14:12:03 GMT 2023","Mon Oct 23 14:12:08 GMT 2023","5154","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula3","testFormula3","sinus"
"broken","Mon Oct 23 14:11:54 GMT 2023","Mon Oct 23 14:11:59 GMT 2023","5639","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testFormula2","testFormula2","subtracting"
"broken","Mon Oct 23 14:11:08 GMT 2023","Mon Oct 23 14:11:08 GMT 2023","4","Surefire suite","Surefire test","com.webcalc.ui.tests.PerformanceTest","com.webcalc.ui.tests.PerformanceTest","createContextAndPage","createContextAndPage",""
"skipped","Mon Oct 23 14:13:42 GMT 2023","Mon Oct 23 14:13:43 GMT 2023","422","","Cucumber UI/API tests for web calculator","","User calculates sin(30)=0.5 by pressing calculator buttons","","User calculates sin(30)=0.5 by pressing calculator buttons",""
"passed","Mon Oct 23 14:11:20 GMT 2023","Mon Oct 23 14:11:21 GMT 2023","943","Surefire suite","Surefire test","com.webcalc.ui.tests.CalBasicFormulasBtnTest","com.webcalc.ui.tests.CalBasicFormulasBtnTest","testCalculatorTypes","testCalculatorTypes","calc types"
